Row ID,Order ID,Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,Province,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date,Customer Rating
1,3,2010-10-13,Low,6,261.54,0.04,Regular Air,-213.25 USD,38.94,35.0,Muhammed MacIntyre,Nunavut,Nunavut,Small Business,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,0.8,2010-10-20,
49,293,2012-10-01,High,49,10123.02,0.07,Delivery Truck,457.81 USD,208.16,68.02,Barry French,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Jumbo Drum,0.58,2012-10-02,Excellent
50,293,2012-10-01,High,27,244.57,0.01,Regular Air,46.7075 USD,8.69,2.99,Barry French,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,2012-10-03,
80,483,2011-07-10,High,30,4965.759499999999,0.08,Regular Air,1198.971 USD,195.99,3.99,Clay Rozendal,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,R380,Small Box,0.58,2011-07-12,Excellent
85,515,2010-08-28,Not Specified,19,394.27,0.08,Regular Air,30.94 USD,21.78,5.94,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5,2010-08-30,
86,515,2010-08-28,Not Specified,21,146.69,0.05,Regular Air,4.43 USD,6.64,4.95,Carlos Soltero,Nunavut,Nunavut,Consumer,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Pack,0.37,2010-08-30,
97,613,2011-06-17,High,12,93.54,0.03,Regular Air,-54.0385 USD,7.3,7.72,Carl Jackson,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38,2011-06-17,
98,613,2011-06-17,High,22,905.08,0.09,Regular Air,127.7 USD,42.76,6.22,Carl Jackson,Nunavut,Nunavut,Corporate,Office Supplies,Storage & Organization,"SAFCO Mobile Desk Side File, Wire Frame",Small Box,,2011-06-18,
107,678,2010-02-26,Low,44,228.41,0.07,Regular Air,-226.36 USD,4.98,8.33,Dorothy Badders,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 198,Small Box,0.38,2010-02-26,
127,807,2010-11-23,Medium,45,196.85,0.01,Regular Air,-166.85 USD,4.28,6.18,Neola Schneider,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 1980,Small Box,0.4,2010-11-24,Excellent
128,807,2010-11-23,Medium,32,124.56,0.04,Regular Air,-14.33 USD,3.95,2.0,Neola Schneider,Nunavut,Nunavut,Home Office,Office Supplies,Rubber Bands,Advantus Map Pennant Flags and Round Head Tacks,Wrap Bag,0.53,2010-11-24,Average
134,868,2012-06-08,Not Specified,32,716.84,0.0,Regular Air,134.72 USD,21.78,5.94,Carlos Daly,Nunavut,Nunavut,Home Office,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5,2012-06-09,Excellent
135,868,2012-06-08,Not Specified,31,1474.33,0.04,Regular Air,114.46 USD,47.98,3.61,Carlos Daly,Nunavut,Nunavut,Home Office,Technology,Computer Peripherals,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Small Pack,0.71,2012-06-10,
149,933,2012-08-04,Not Specified,15,80.61,0.02,Regular Air,-4.715 USD,5.28,2.99,Claudia Miner,Nunavut,Nunavut,Small Business,Office Supplies,Binders and Binder Accessories,"Wilson Jones 1"" Hanging DublLock® Ring Binders",Small Box,0.37,2012-08-04,
160,995,2011-05-30,Medium,46,1815.49,0.03,Regular Air,782.91 USD,39.89,3.04,Neola Schneider,Nunavut,Nunavut,Home Office,Furniture,Office Furnishings,Ultra Commercial Grade Dual Valve Door Closer,Wrap Bag,0.53,2011-05-31,
161,998,2009-11-25,Not Specified,16,248.26,0.07,Regular Air,93.8 USD,15.74,1.39,Allen Rosenblatt,Nunavut,Nunavut,Small Business,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Small Box,0.4,2009-11-26,
176,1154,2012-02-14,Critical,11,663.7840000000001,0.25,Regular Air,-481.041 USD,71.37,69.0,Sylvia Foulston,Nunavut,Nunavut,Home Office,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Large Box,0.68,2012-02-16,
204,1344,2012-04-15,Low,18,2480.9205,0.01,Regular Air,313.57800000000003 USD,155.99,8.99,Jim Radford,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,LX 788,Small Box,0.58,2012-04-19,Excellent
213,1412,2010-03-12,Not Specified,13,59.03,0.1,Express Air,26.92 USD,3.69,0.5,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Labels,Avery 52,Small Box,0.38,2010-03-14,
214,1412,2010-03-12,Not Specified,21,97.48,0.05,Regular Air,-5.77 USD,4.71,0.7,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Rubber Bands,Plymouth Boxed Rubber Bands by Plymouth,Wrap Bag,0.8,2010-03-14,
230,1539,2011-03-09,Low,38,184.99,0.05,Regular Air,-144.55 USD,4.89,4.93,Carl Ludwig,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Small Pack,0.66,2011-03-14,
231,1540,2012-08-04,High,30,80.9,0.09,Regular Air,5.76 USD,2.88,0.7,Don Miller,Nunavut,Nunavut,Home Office,Office Supplies,Pens & Art Supplies,Newell 335,Wrap Bag,0.56,2012-08-06,
250,1761,2010-12-23,High,25,12028.23,0.01,Delivery Truck,-547.61 USD,449.99,49.0,Carl Ludwig,Nunavut,Nunavut,Corporate,Technology,Copiers and Fax,Canon PC940 Copier,Jumbo Drum,0.38,2010-12-25,Excellent
