Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Customer Name,Province,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date,Shipping Cost (log),Unit Price (log)
2011-06-29,Low,27.0,135.86,0.04,Regular Air,-73.42,Rose O'Brian,Ontario,Ontario,Home Office,Office Supplies,Paper,Xerox 1952,Small Box,0.38,2011-07-01,1.8702625307159986,1.7884205679625405
2012-06-12,Medium,27.0,399.76,0.04,Regular Air,48.13,Lela Donovan,British Columbia,West,Corporate,Office Supplies,Appliances,Acco 6 Outlet Guardian Premium Surge Suppressor,Small Box,0.58,2012-06-12,1.5040773967762742,2.7447035187502458
2012-04-04,Not Specified,21.0,330.22,0.07,Regular Air,-51.7155,Meg O'Connel,Manitoba,Prarie,Corporate,Office Supplies,Binders and Binder Accessories,Recycled Premium Regency Composition Covers,Small Box,0.36,2012-04-06,2.477378383367209,2.789937360574394
2011-03-24,Medium,5.0,83.3,0.09,Regular Air,-114.906,Cari MacIntyre,Ontario,Ontario,Corporate,Technology,Telephones and Communication,Accessory37,Wrap Bag,0.81,2011-03-25,1.252762968495368,3.09058780456667
2009-04-25,Critical,5.0,126.95,0.0,Regular Air,-4.17,Larry Tron,Alberta,West,Home Office,Office Supplies,Paper,Xerox 1991,Small Box,0.39,2009-04-27,2.217027204632399,3.171364842197149
2012-12-04,Critical,41.0,214.19,0.05,Regular Air,-66.06,Cari MacIntyre,Alberta,West,Corporate,Office Supplies,Paper,Staples Copy Paper (20Lb. and 84 Bright),Small Box,0.38,2012-12-05,1.7404661748405044,1.7884205679625405
2009-01-24,Medium,23.0,294.68,0.01,Regular Air,-23.35,Michael Dominguez,Ontario,Ontario,Home Office,Office Supplies,Appliances,Harmony HEPA Quiet Air Purifiers,Medium Box,0.5,2009-01-26,2.0744289998562917,2.5416019934645457
2011-06-28,Low,15.0,627.69,0.0,Regular Air,-12.02,Jessica Myrick,Ontario,Ontario,Small Business,Technology,Computer Peripherals,Microsoft Natural Keyboard Elite,Small Box,0.7,2011-07-03,1.6094379124341003,3.7130841428107537
2011-02-12,Low,30.0,663.24,0.01,Regular Air,76.33,Luke Schmidt,Saskachewan,Prarie,Home Office,Office Supplies,Appliances,Kensington 6 Outlet Guardian Standard Surge Protector,Small Box,0.58,2011-02-12,1.9906103279732201,3.067122269640664
2012-10-04,Not Specified,15.0,502.8,0.0,Regular Air,-19.1,Dan Campbell,Newfoundland,Atlantic,Small Business,Office Supplies,Envelopes,Staples Colored Interoffice Envelopes,Small Box,0.36,2012-10-04,3.0209125720842893,3.4651107074058083
2009-03-21,High,30.0,186.79,0.09,Regular Air,-88.6,Christopher Conant,Alberta,West,Home Office,Office Supplies,Paper,Xerox 200,Small Box,0.37,2009-03-22,1.9947003132247452,2.012232791986386
2010-09-14,Not Specified,19.0,545.71,0.1,Regular Air,-35.47,Caroline Jumper,Quebec,Quebec,Corporate,Office Supplies,Storage & Organization,Acco Perma® 2700 Stacking Storage Drawers,Small Box,0.7,2010-09-16,2.033397603178429,3.4255647381104497
2012-10-30,High,3.0,10.62,0.07,Regular Air,-3.96,Amy Hunt,Saskachewan,Prarie,Small Business,Office Supplies,Rubber Bands,Acco® Hot Clips™ Clips to Go,Wrap Bag,0.4,2012-10-30,0.8544153281560676,1.4562867329399256
2010-12-05,Not Specified,9.0,173.417,0.0,Regular Air,18.234,Clay Rozendal,Northwest Territories,Northwest Territories,Corporate,Technology,Telephones and Communication,Accessory21,Wrap Bag,0.37,2010-12-07,0.688134638736401,3.09058780456667
2010-03-10,Not Specified,49.0,314.21,0.0,Regular Air,49.77,Roy Collins,Saskachewan,Prarie,Corporate,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Wrap Bag,0.36,2010-03-11,1.3962446919730587,1.9286186519452522
2011-10-16,Low,29.0,157.4,0.01,Regular Air,-118.56,Henry Goldwyn,Manitoba,Prarie,Small Business,Office Supplies,Paper,Xerox 1926,Small Box,0.38,2011-10-21,2.1138429683971682,1.7884205679625405
2010-07-16,Medium,9.0,157.26,0.06,Regular Air,-18.84,Joy Daniels,Manitoba,Prarie,Corporate,Technology,Computer Peripherals,"Maxell Pro 80 Minute CD-R, 10/Pack",Small Pack,0.45,2010-07-17,1.095273387402595,2.916689066213538
2009-11-23,Not Specified,9.0,351.06,0.02,Regular Air,-306.32,Frank Hawley,Alberta,West,Home Office,Office Supplies,Storage & Organization,Belkin OmniView SE Rackmount Kit,Large Box,0.85,2009-11-24,3.58351893845611,3.5967641652061304
2011-04-11,Critical,20.0,1077.8085,0.06,Express Air,17.253,Alan Shonely,Quebec,Quebec,Small Business,Technology,Telephones and Communication,5180,Small Box,0.56,2011-04-13,2.301584592660462,4.204543354520176
